"Area"	"Mean"	"Min"	"Max"	"BX"	"BY"	"Width"	"Height"	"Feret"	"FeretX"	"FeretY"	"FeretAngle"	"MinFeret"	"source"	"pbad24"	"pbad33"
0.27	255	255	255	40.741	51.786	0.679	0.724	0.791	903	1144	113.629	0.648	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.863	255	255	255	39.564	52.148	1.132	1.177	1.261	882	1152	111.038	1.117	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.283	255	255	255	44.815	52.193	1.313	1.403	1.507	992	1156	131.348	1.313	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.598	255	255	255	72.519	52.646	0.905	0.905	0.993	1602	1177	24.228	0.885	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.758	255	255	255	53.099	52.827	1.041	0.996	1.08	1174	1171	146.976	0.99	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.867	255	255	255	73.288	52.827	1.086	1.132	1.177	1619	1185	22.62	1.049	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.516	255	255	255	40.695	53.144	0.996	0.905	1.021	899	1183	12.804	0.905	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.365	255	255	255	71.115	54.819	0.724	0.724	0.779	1574	1227	54.462	0.704	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.121	255	255	255	35.671	55.77	1.358	1.358	1.395	799	1262	76.866	1.303	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.045	255	255	255	51.107	55.951	1.177	1.132	1.287	1130	1239	140.711	1.132	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.461	255	255	255	54.774	56.358	0.77	0.77	0.865	1213	1246	132.879	0.767	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.926	255	255	255	67.63	56.539	1.177	1.132	1.245	1494	1255	160.907	1.093	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.908	255	255	255	46.309	58.078	1.222	1.132	1.331	1024	1287	144.689	1.053	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.035	255	255	255	30.374	58.757	1.358	1.403	1.699	671	1298	131.76	1.231	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.287	255	255	255	74.103	59.844	0.679	0.498	0.731	1637	1326	158.199	0.498	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.678	255	255	255	73.922	60.387	1.086	0.905	1.154	1634	1348	25.56	0.905	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.857	255	255	255	28.337	61.292	1.177	1.086	1.223	631	1376	38.991	1.076	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.836	255	255	255	62.016	62.062	1.086	1.041	1.118	1375	1372	121.759	1.041	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.303	255	255	255	69.259	62.288	0.724	0.634	0.749	1531	1387	25.017	0.634	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.934	255	255	255	72.292	62.65	1.086	1.132	1.174	1601	1386	117.553	1.086	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.895	255	255	255	90.354	64.959	1.086	1.177	1.208	2005	1435	102.995	1.053	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.318	255	255	255	98.366	65.276	0.724	0.679	0.753	2176	1456	57.265	0.679	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.492	255	255	255	72.564	66.77	0.996	0.951	1.088	1608	1494	45	0.819	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.648	255	255	255	84.379	67.177	0.996	0.905	1.195	1864	1485	142.696	0.905	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.914	255	255	255	97.235	67.675	1.086	1.177	1.199	2159	1495	100.886	1.078	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.619	255	255	255	61.609	67.856	0.951	0.86	1.012	1361	1503	153.435	0.86	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
