"Area"	"Width"	"Height"	"genotype"	"pbad24"	"pbad33"	"efp_species"
1.134	1.252	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.37	1.341	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.05	1.297	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.09	1.297	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.016	1.252	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.046	1.297	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.321	1.52	2.057	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.354	1.341	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.324	1.252	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.304	1.341	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.42	1.565	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.074	1.207	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.146	1.341	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.997	1.654	1.699	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.226	1.252	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.578	1.61	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.028	1.297	0.984	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.684	1.073	0.984	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.982	1.073	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.324	1.341	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.478	1.386	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.994	1.341	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.168	1.61	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.566	1.476	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.026	1.073	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.915	1.565	1.699	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.62	1.565	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.196	1.431	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.65	1.386	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.108	1.341	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.212	1.386	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.55	1.52	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.528	1.386	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.227	1.699	1.744	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.654	1.565	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.398	1.565	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.092	1.252	1.118	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.882	1.252	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.67	1.431	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.618	0.894	0.939	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.24	1.341	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.178	1.476	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.968	1.207	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.212	1.207	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.352	1.297	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.886	1.252	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.872	1.61	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.012	1.207	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.35	1.341	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.226	1.207	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.518	1.386	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.79	1.565	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.856	1.61	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.128	1.207	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.17	1.252	1.207	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.328	1.386	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.079	1.654	1.654	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.302	1.386	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.238	1.341	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.824	1.565	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.536	1.386	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.704	0.805	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.285	1.52	2.191	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.396	1.476	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.34	1.341	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.366	1.297	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.9	1.163	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.642	1.386	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.268	1.297	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.816	1.073	1.118	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.35	1.341	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.32	1.207	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.782	1.386	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.804	1.52	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.388	1.252	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.356	1.431	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.432	1.431	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.1	1.207	1.207	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.919	1.744	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.56	1.386	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.273	2.057	1.833	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.235	1.61	1.789	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.12	1.207	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.744	1.789	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.018	1.118	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.382	1.341	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.192	1.252	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.598	1.431	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.638	1.476	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.842	1.833	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.1	1.297	1.207	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.842	1.073	1.118	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.546	1.654	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.988	1.252	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.162	1.207	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.262	1.476	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.71	1.476	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.714	1.52	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.548	1.52	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.466	1.341	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.172	1.252	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.744	1.654	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.766	1.61	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.258	1.297	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.818	1.52	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.069	1.386	2.012	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.462	1.341	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.944	1.118	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.58	1.341	1.654	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.21	1.252	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.32	1.386	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.078	1.252	1.207	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.572	1.341	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.55	1.386	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.646	1.386	1.654	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.276	1.207	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.83	1.297	1.744	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.354	1.297	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.984	1.297	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.862	1.118	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.946	1.073	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.28	1.252	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.584	1.565	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.165	1.878	1.789	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.094	1.207	1.207	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.884	1.252	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.888	1.52	1.654	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.418	1.386	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.736	0.984	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.146	1.297	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.27	1.207	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.77	1.297	0.894	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.232	1.207	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.754	1.118	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.482	1.476	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.744	1.341	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.858	1.565	1.654	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.123	1.878	1.654	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.118	1.207	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.542	1.207	0.894	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.436	1.341	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.068	1.073	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.022	1.207	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.674	1.028	0.939	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.388	1.297	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.684	1.476	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.986	1.118	1.207	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.544	1.386	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.724	1.028	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.332	1.386	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.986	1.341	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.21	1.252	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.76	0.984	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.822	1.118	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.866	1.028	1.207	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.53	1.386	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.762	1.341	1.789	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.996	1.252	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.108	1.341	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.356	1.297	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.192	1.431	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.888	1.207	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.618	1.476	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.133	1.878	1.744	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.826	1.073	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.051	1.61	1.654	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.366	1.252	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.788	1.654	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.94	1.207	1.118	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.828	1.476	1.699	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.128	1.118	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.432	1.386	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.014	1.118	1.207	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.208	1.297	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.38	1.476	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.628	1.431	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.746	0.984	1.118	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.808	1.073	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.09	1.252	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.264	1.476	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.44	1.386	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.342	1.341	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.416	1.341	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.466	1.61	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.79	1.654	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.726	1.52	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.06	1.386	1.118	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.408	1.431	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.576	0.939	0.85	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.37	1.431	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.206	1.297	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.826	1.163	0.85	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.556	1.073	0.805	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.42	1.297	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.108	1.297	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.58	0.939	0.894	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.858	1.565	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.82	1.207	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.616	1.207	0.85	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.436	1.386	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.43	1.476	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.392	1.252	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.156	1.207	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.428	1.252	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.132	1.118	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.03	1.118	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.76	1.073	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.236	1.297	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.854	1.118	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.918	1.163	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.804	1.252	0.85	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.812	1.073	0.984	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.224	1.297	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.598	1.386	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.858	1.118	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.46	1.52	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.034	1.297	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.074	1.297	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.418	1.386	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.944	1.431	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.098	1.163	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.53	0.984	0.76	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.974	1.073	1.207	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.042	1.207	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.784	1.163	0.984	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.616	0.894	0.984	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.366	1.341	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.1	1.163	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.224	1.341	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.794	1.073	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.138	1.386	1.118	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.65	1.297	0.76	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.628	1.52	0.537	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.698	1.118	0.939	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.345	1.654	1.833	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.287	1.699	1.744	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.047	1.654	1.61	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
0.76	1.52	0.76	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
0.624	0.715	1.118	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
0.632	0.805	1.118	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.585	1.833	1.923	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
0.538	0.715	1.252	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.127	1.699	1.878	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
0.62	1.073	0.76	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
1.718	1.61	1.52	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.963	2.012	2.057	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
0.504	0.939	0.984	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
1.302	1.476	1.252	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.097	1.699	1.699	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.851	1.967	1.923	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.525	1.789	1.833	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
1.188	1.341	1.341	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.491	1.789	1.878	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
2.317	1.61	1.878	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
0.526	0.76	1.073	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
0.634	0.984	1.341	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
0.942	1.386	1.207	"deltaefpuup_eco24empty33"	"eco"	"empty"	"E. coli"
0.24	0.537	0.492	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.12	0.492	0.402	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.126	0.492	0.402	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.206	0.537	0.537	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.168	0.581	0.447	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.176	0.537	0.447	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.136	0.492	0.358	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.196	0.537	0.447	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.228	0.537	0.581	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.18	0.358	0.581	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.154	0.358	0.447	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.222	0.671	0.492	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.16	0.358	0.447	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.116	0.268	0.492	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.108	0.268	0.447	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.16	0.447	0.358	"deltaefpuup_empty24earp33"	"empty"	"earp"	NA
0.162	0.581	0.402	"deltaefpuup_empty24empty33"	"empty"	"empty"	NA
0.154	0.537	0.402	"deltaefpuup_empty24empty33"	"empty"	"empty"	NA
0.12	0.492	0.492	"deltaefpuup_empty24empty33"	"empty"	"empty"	NA
0.11	0.358	0.537	"deltaefpuup_empty24empty33"	"empty"	"empty"	NA
0.114	0.537	0.313	"deltaefpuup_empty24empty33"	"empty"	"empty"	NA
0.12	0.492	0.358	"deltaefpuup_empty24empty33"	"empty"	"empty"	NA
0.138	0.537	0.447	"deltaefpuup_empty24empty33"	"empty"	"empty"	NA
0.056	0.224	0.447	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.104	0.492	0.313	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.084	0.402	0.268	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.104	0.492	0.313	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.202	0.581	0.447	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.09	0.447	0.313	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.112	0.492	0.358	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.146	0.492	0.402	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.078	0.402	0.268	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.128	0.626	0.358	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.06	0.313	0.268	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.18	0.671	0.358	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.088	0.492	0.313	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.078	0.358	0.447	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.052	0.358	0.224	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.12	0.581	0.313	"deltaefpuup_gefeR24earp33"	"gefeR"	"earp"	"G. ferrihydriticus"
0.154	0.537	0.402	"deltaefpuup_gefeR24empty33"	"gefeR"	"empty"	"G. ferrihydriticus"
0.642	1.476	0.626	"deltaefpuup_gefeR24empty33"	"gefeR"	"empty"	"G. ferrihydriticus"
0.118	0.492	0.402	"deltaefpuup_gefeR24empty33"	"gefeR"	"empty"	"G. ferrihydriticus"
0.176	0.581	0.447	"deltaefpuup_gefeR24empty33"	"gefeR"	"empty"	"G. ferrihydriticus"
