"Area"	"Width"	"Height"	"genotype"	"pbad24"	"pbad33"	"efp_species"
0.318	0.724	0.679	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.492	0.996	0.951	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.648	0.996	0.905	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.914	1.086	1.177	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.619	0.951	0.86	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.678	1.086	1.086	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
1.051	1.313	1.358	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.727	1.086	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.961	1.086	1.358	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.893	1.132	1.222	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.91	1.132	1.086	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.213	0.634	0.543	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.986	1.132	1.132	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.717	1.086	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.254	0.724	0.679	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.75	1.041	1.041	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
1	1.222	1.177	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.879	1.177	1.041	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.969	1.313	1.086	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.814	0.996	1.222	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.998	1.132	1.267	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.828	1.041	1.041	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.225	0.453	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.541	0.905	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.885	1.132	1.086	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.215	0.588	0.543	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.867	1.177	1.222	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.818	1.177	1.177	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.889	1.177	1.177	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.266	0.724	0.588	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.746	1.041	0.951	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
1.01	1.267	1.313	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.926	1.267	1.267	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.955	1.177	1.177	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.682	0.905	0.951	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.658	0.996	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.588	1.041	0.905	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.225	0.543	0.543	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.621	1.086	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.516	0.86	0.815	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.779	1.132	1.086	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.684	0.996	0.905	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.861	1.177	1.041	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
1.039	1.403	1.222	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.672	0.996	0.951	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.963	1.132	1.313	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.898	1.132	1.086	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.764	1.086	1.177	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.686	1.086	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.768	1.222	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.727	1.086	0.951	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.287	0.634	0.86	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.52	0.86	0.815	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.314	0.724	0.724	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.34	0.815	0.815	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.303	0.679	0.634	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.32	0.679	0.724	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.248	0.588	0.543	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.201	0.588	0.724	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.729	0.996	0.905	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.729	1.041	1.132	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.24	0.679	0.543	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.721	1.086	1.041	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.314	0.724	0.679	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.809	1.177	1.086	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.52	0.815	0.815	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
1.033	1.222	1.267	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.68	0.951	0.905	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.678	0.996	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.746	1.041	0.996	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.91	1.222	1.132	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.373	0.679	0.679	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.6	0.905	0.86	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.309	0.679	0.679	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.738	1.041	0.951	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.779	1.177	1.041	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.467	1.222	0.77	"deltaefpuup_dera24earp33"	"dera"	"earp"	"D. radiodurans"
0.336	0.805	0.939	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.708	1.565	0.671	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.358	1.386	0.447	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.074	1.207	1.163	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.128	1.252	1.207	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.732	0.984	1.028	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
