Colony_width	EFP_plasmid	EarP_plasmid
1.341	E.coli	earp
1.386	E.coli	earp
1.341	E.coli	earp
1.61	E.coli	earp
1.476	E.coli	earp
1.073	E.coli	earp
1.565	E.coli	earp
1.565	E.coli	earp
1.431	E.coli	earp
1.386	E.coli	earp
1.341	E.coli	earp
1.386	E.coli	earp
1.52	E.coli	earp
1.386	E.coli	earp
1.699	E.coli	earp
1.565	E.coli	earp
1.565	E.coli	earp
1.252	E.coli	earp
1.252	E.coli	earp
1.431	E.coli	earp
0.894	E.coli	earp
1.341	E.coli	earp
1.476	E.coli	earp
1.207	E.coli	earp
1.207	E.coli	earp
1.297	E.coli	earp
1.252	E.coli	earp
1.61	E.coli	earp
1.207	E.coli	earp
1.341	E.coli	earp
1.207	E.coli	earp
1.386	E.coli	earp
1.565	E.coli	earp
1.61	E.coli	earp
1.207	E.coli	earp
1.252	E.coli	earp
1.386	E.coli	earp
1.654	E.coli	earp
1.386	E.coli	earp
1.341	E.coli	earp
1.565	E.coli	earp
1.386	E.coli	earp
0.805	E.coli	earp
1.52	E.coli	earp
1.476	E.coli	earp
1.341	E.coli	earp
1.297	E.coli	earp
1.163	E.coli	earp
1.386	E.coli	earp
1.297	E.coli	earp
1.073	E.coli	earp
1.341	E.coli	earp
1.207	E.coli	earp
1.386	E.coli	earp
1.52	E.coli	earp
1.252	E.coli	earp
1.431	E.coli	earp
1.431	E.coli	earp
1.207	E.coli	earp
1.744	E.coli	earp
1.386	E.coli	earp
2.057	E.coli	earp
1.61	E.coli	earp
1.207	E.coli	earp
1.789	E.coli	earp
1.118	E.coli	earp
1.341	E.coli	earp
1.252	E.coli	earp
1.431	E.coli	earp
1.476	E.coli	earp
1.833	E.coli	earp
1.297	E.coli	earp
1.073	E.coli	earp
1.654	E.coli	earp
1.252	E.coli	earp
1.207	E.coli	earp
1.476	E.coli	earp
1.476	E.coli	earp
1.52	E.coli	earp
1.52	E.coli	earp
1.341	E.coli	earp
1.252	E.coli	earp
1.654	E.coli	earp
1.61	E.coli	earp
1.297	E.coli	earp
1.52	E.coli	earp
1.386	E.coli	earp
1.341	E.coli	earp
1.118	E.coli	earp
1.341	E.coli	earp
1.252	E.coli	earp
1.386	E.coli	earp
1.252	E.coli	earp
1.341	E.coli	earp
1.386	E.coli	earp
1.386	E.coli	earp
1.207	E.coli	earp
1.297	E.coli	earp
1.297	E.coli	earp
1.297	E.coli	earp
1.118	E.coli	earp
1.073	E.coli	earp
1.252	E.coli	earp
1.565	E.coli	earp
1.878	E.coli	earp
1.207	E.coli	earp
1.252	E.coli	earp
1.52	E.coli	earp
1.386	E.coli	earp
0.984	E.coli	earp
1.297	E.coli	earp
1.207	E.coli	earp
1.297	E.coli	earp
1.207	E.coli	earp
1.118	E.coli	earp
1.476	E.coli	earp
1.341	E.coli	earp
1.565	E.coli	earp
1.878	E.coli	earp
1.207	E.coli	earp
1.207	E.coli	earp
1.341	E.coli	earp
1.073	E.coli	earp
1.207	E.coli	earp
1.028	E.coli	earp
1.297	E.coli	earp
1.476	E.coli	earp
1.118	E.coli	earp
1.386	E.coli	earp
1.028	E.coli	earp
1.386	E.coli	earp
1.341	E.coli	earp
1.252	E.coli	earp
