Colony_width	EFP_plasmid	EarP_plasmid
0.313	S.oneidensis	earp
1.297	S.oneidensis	earp
1.297	S.oneidensis	earp
1.386	S.oneidensis	earp
1.297	S.oneidensis	earp
1.118	S.oneidensis	earp
0.984	S.oneidensis	earp
1.163	S.oneidensis	earp
1.297	S.oneidensis	earp
1.341	S.oneidensis	earp
0.939	S.oneidensis	earp
1.297	S.oneidensis	earp
1.297	S.oneidensis	earp
1.118	S.oneidensis	earp
1.431	S.oneidensis	earp
1.297	S.oneidensis	earp
1.386	S.oneidensis	earp
0.447	S.oneidensis	earp
0.715	S.oneidensis	earp
1.073	S.oneidensis	earp
1.163	S.oneidensis	earp
1.252	S.oneidensis	earp
0.85	S.oneidensis	earp
1.207	S.oneidensis	earp
1.386	S.oneidensis	earp
1.386	S.oneidensis	earp
1.386	S.oneidensis	earp
1.341	S.oneidensis	earp
1.386	S.oneidensis	earp
1.386	S.oneidensis	earp
1.252	S.oneidensis	earp
0.492	S.oneidensis	earp
1.341	S.oneidensis	earp
1.476	S.oneidensis	earp
0.984	S.oneidensis	earp
1.386	S.oneidensis	earp
1.52	S.oneidensis	earp
1.073	S.oneidensis	earp
1.61	S.oneidensis	earp
1.341	S.oneidensis	earp
1.341	S.oneidensis	earp
1.252	S.oneidensis	earp
1.207	S.oneidensis	earp
1.297	S.oneidensis	earp
0.805	S.oneidensis	earp
1.431	S.oneidensis	earp
1.028	S.oneidensis	earp
1.252	S.oneidensis	earp
0.671	S.oneidensis	earp
0.939	S.oneidensis	earp
0.76	S.oneidensis	earp
1.073	S.oneidensis	earp
1.341	S.oneidensis	earp
1.341	S.oneidensis	earp
1.252	S.oneidensis	earp
1.431	S.oneidensis	earp
1.297	S.oneidensis	earp
1.386	S.oneidensis	earp
0.581	D.acetiphilus	Empty.vector
0.626	D.acetiphilus	Empty.vector
0.537	D.acetiphilus	Empty.vector
0.581	D.acetiphilus	Empty.vector
0.626	D.acetiphilus	Empty.vector
0.447	D.acetiphilus	Empty.vector
0.537	D.acetiphilus	Empty.vector
0.537	D.acetiphilus	Empty.vector
0.626	D.acetiphilus	Empty.vector
0.447	D.acetiphilus	Empty.vector
0.581	D.acetiphilus	Empty.vector
0.492	D.acetiphilus	Empty.vector
0.581	D.acetiphilus	Empty.vector
0.671	D.acetiphilus	Empty.vector
0.581	D.acetiphilus	Empty.vector
0.626	D.acetiphilus	Empty.vector
0.581	D.acetiphilus	Empty.vector
0.626	D.acetiphilus	Empty.vector
0.626	D.acetiphilus	Empty.vector
0.492	D.acetiphilus	Empty.vector
0.805	D.radiodurans	Empty.vector
1.565	D.radiodurans	Empty.vector
1.386	D.radiodurans	Empty.vector
1.207	D.radiodurans	Empty.vector
1.252	D.radiodurans	Empty.vector
0.984	D.radiodurans	Empty.vector
1.252	D.radiodurans	Empty.vector
1.341	D.radiodurans	Empty.vector
1.163	D.radiodurans	Empty.vector
1.297	D.radiodurans	Empty.vector
1.297	D.radiodurans	Empty.vector
1.207	D.radiodurans	Empty.vector
1.386	D.radiodurans	Empty.vector
1.207	D.radiodurans	Empty.vector
1.252	D.radiodurans	Empty.vector
1.252	D.radiodurans	Empty.vector
0.76	D.radiodurans	Empty.vector
1.207	D.radiodurans	Empty.vector
1.297	D.radiodurans	Empty.vector
1.52	D.radiodurans	Empty.vector
1.833	D.radiodurans	Empty.vector
1.252	D.radiodurans	Empty.vector
1.565	D.radiodurans	Empty.vector
0.894	D.radiodurans	Empty.vector
0.76	D.radiodurans	Empty.vector
1.699	D.radiodurans	Empty.vector
1.207	D.radiodurans	Empty.vector
0.715	D.radiodurans	Empty.vector
1.163	D.radiodurans	Empty.vector
1.297	D.radiodurans	Empty.vector
1.297	D.radiodurans	Empty.vector
0.939	D.radiodurans	Empty.vector
1.118	D.radiodurans	Empty.vector
0.671	D.radiodurans	Empty.vector
0.626	D.radiodurans	Empty.vector
1.252	D.radiodurans	Empty.vector
0.894	D.radiodurans	Empty.vector
1.341	D.radiodurans	Empty.vector
1.207	D.radiodurans	Empty.vector
0.984	D.radiodurans	Empty.vector
1.252	D.radiodurans	Empty.vector
1.207	D.radiodurans	Empty.vector
1.028	D.radiodurans	Empty.vector
1.207	D.radiodurans	Empty.vector
1.297	D.radiodurans	Empty.vector
1.252	D.radiodurans	Empty.vector
1.252	D.radiodurans	Empty.vector
1.028	D.radiodurans	Empty.vector
1.207	D.radiodurans	Empty.vector
1.565	D.radiodurans	Empty.vector
0.894	D.radiodurans	Empty.vector
0.715	D.radiodurans	Empty.vector
1.163	D.radiodurans	Empty.vector
1.118	E.coli	Empty.vector
1.654	E.coli	Empty.vector
1.699	E.coli	Empty.vector
1.654	E.coli	Empty.vector
1.52	E.coli	Empty.vector
0.715	E.coli	Empty.vector
0.805	E.coli	Empty.vector
1.833	E.coli	Empty.vector
0.715	E.coli	Empty.vector
1.699	E.coli	Empty.vector
1.073	E.coli	Empty.vector
1.61	E.coli	Empty.vector
2.012	E.coli	Empty.vector
0.939	E.coli	Empty.vector
1.476	E.coli	Empty.vector
1.699	E.coli	Empty.vector
1.967	E.coli	Empty.vector
1.789	E.coli	Empty.vector
1.341	E.coli	Empty.vector
1.789	E.coli	Empty.vector
1.61	E.coli	Empty.vector
0.76	E.coli	Empty.vector
0.984	E.coli	Empty.vector
1.386	E.coli	Empty.vector
0.581	Empty.vector	Empty.vector
0.537	Empty.vector	Empty.vector
0.492	Empty.vector	Empty.vector
0.358	Empty.vector	Empty.vector
0.537	Empty.vector	Empty.vector
0.492	Empty.vector	Empty.vector
0.537	Empty.vector	Empty.vector
0.537	G.ferrihydriticus	Empty.vector
1.476	G.ferrihydriticus	Empty.vector
0.492	G.ferrihydriticus	Empty.vector
0.581	G.ferrihydriticus	Empty.vector
0.537	G.ferrihydriticus	Empty.vector
0.402	G.ferrihydriticus	Empty.vector
0.402	G.ferrihydriticus	Empty.vector
0.492	G.ferrihydriticus	Empty.vector
0.447	G.ferrihydriticus	Empty.vector
0.358	G.ferrihydriticus	Empty.vector
0.537	G.ferrihydriticus	Empty.vector
0.447	G.ferrihydriticus	Empty.vector
0.76	G.ferrihydriticus	Empty.vector
0.358	G.ferrihydriticus	Empty.vector
0.224	G.ferrihydriticus	Empty.vector
0.537	G.ferrihydriticus	Empty.vector
0.537	G.ferrihydriticus	Empty.vector
0.492	G.ferrihydriticus	Empty.vector
0.537	G.ferrihydriticus	Empty.vector
0.581	G.ferrihydriticus	Empty.vector
0.268	G.ferrihydriticus	Empty.vector
0.492	G.ferrihydriticus	Empty.vector
0.358	G.ferrihydriticus	Empty.vector
0.492	G.ferrihydriticus	Empty.vector
0.447	G.ferrihydriticus	Empty.vector
0.447	G.ferrihydriticus	Empty.vector
0.358	G.ferrihydriticus	Empty.vector
0.268	G.ferrihydriticus	Empty.vector
0.313	G.ferrihydriticus	Empty.vector
0.447	G.ferrihydriticus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.581	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.313	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.671	H.aurantiacus	Empty.vector
0.313	H.aurantiacus	Empty.vector
0.313	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.313	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.537	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.492	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.313	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.402	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.447	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.268	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
0.313	H.aurantiacus	Empty.vector
0.358	H.aurantiacus	Empty.vector
1.073	N.communis	Empty.vector
1.163	N.communis	Empty.vector
0.85	N.communis	Empty.vector
0.984	N.communis	Empty.vector
1.431	N.communis	Empty.vector
1.52	N.communis	Empty.vector
1.341	N.communis	Empty.vector
1.341	N.communis	Empty.vector
1.386	N.communis	Empty.vector
1.028	N.communis	Empty.vector
1.341	N.communis	Empty.vector
1.297	N.communis	Empty.vector
1.386	N.communis	Empty.vector
1.341	N.communis	Empty.vector
0.76	N.communis	Empty.vector
1.073	N.communis	Empty.vector
1.476	N.communis	Empty.vector
1.431	N.communis	Empty.vector
0.894	N.communis	Empty.vector
1.163	N.communis	Empty.vector
1.252	N.communis	Empty.vector
1.028	N.communis	Empty.vector
0.537	N.communis	Empty.vector
1.118	N.communis	Empty.vector
1.163	N.communis	Empty.vector
1.207	N.communis	Empty.vector
1.297	N.communis	Empty.vector
1.118	N.communis	Empty.vector
0.626	N.communis	Empty.vector
0.805	N.communis	Empty.vector
1.297	N.communis	Empty.vector
1.207	N.communis	Empty.vector
0.984	N.communis	Empty.vector
1.207	N.communis	Empty.vector
1.297	N.communis	Empty.vector
0.894	N.communis	Empty.vector
0.715	N.communis	Empty.vector
0.358	N.communis	Empty.vector
1.073	N.communis	Empty.vector
1.297	N.communis	Empty.vector
1.073	N.communis	Empty.vector
0.984	N.communis	Empty.vector
1.207	N.communis	Empty.vector
0.894	N.communis	Empty.vector
0.358	N.communis	Empty.vector
0.984	N.communis	Empty.vector
1.297	N.communis	Empty.vector
0.715	N.communis	Empty.vector
1.163	N.communis	Empty.vector
0.581	N.communis	Empty.vector
1.207	N.communis	Empty.vector
0.984	N.communis	Empty.vector
1.073	N.communis	Empty.vector
1.252	N.communis	Empty.vector
0.894	N.communis	Empty.vector
0.537	N.communis	Empty.vector
0.447	N.communis	Empty.vector
0.939	N.communis	Empty.vector
0.984	N.communis	Empty.vector
0.626	N.communis	Empty.vector
0.939	N.communis	Empty.vector
0.85	N.communis	Empty.vector
1.207	N.communis	Empty.vector
1.028	N.communis	Empty.vector
0.402	P.putida	Empty.vector
0.492	P.putida	Empty.vector
0.581	P.putida	Empty.vector
0.581	P.putida	Empty.vector
0.537	P.putida	Empty.vector
0.715	S.oneidensis	Empty.vector
