"Geneid"	"Chr"	"T0_R1"	"T0_R2"	"T0_R3"	"T1_R1"	"T1_R2"	"T1_R3"	"T4_R1"	"T4_R2"	"T4_R3"	"T7_R1"	"T7_R2"	"T7_R3"	"T20_R1"	"T20_R2"	"T20_R3"
"gene-b0001"	"U00096.3"	788.315158127973	530.680369221955	599.436253530796	985.875650527715	302.887114465734	1100.23079342633	106.889437298717	197.748248595167	181.003253191782	28.5865341439043	66.9740568579001	49.875958825097	27.3517944803398	48.7856384754988	14.0985081086306
"gene-b0002"	"U00096.3"	61.8093068687953	41.1743394034444	53.4014484317491	25.6102892061504	18.7432311887714	27.6066757232041	33.8531984546773	7.26840160507867	11.4704753972565	3.9020832928816	3.69076008652232	5.72503143275697	2.16269926535534	2.27982697473087	2.95294512225811
"gene-b0003"	"U00096.3"	121.978412616531	61.4707144556712	102.57945455543	59.4376134797041	43.1512548099261	51.5316352913679	44.5347050897435	10.5442691458066	22.3384433372128	6.69089858056466	6.04509974858965	10.5424808297383	3.61236219373502	3.69292835427849	3.03267337621177
"gene-b0004"	"U00096.3"	154.062969939419	92.9756974234081	119.434188850517	71.4475112188584	46.7518756901704	65.0337381160828	41.3107532606054	15.0170652466623	28.7948009689597	10.320865364638	8.29982752529926	13.3842412277681	4.65018509164297	4.20118221995104	4.17569627916532
"gene-b0005"	"U00096.3"	110.72016694099	80.5032209316803	96.5006994802338	71.9950387463994	62.5199977130232	69.9998493922143	45.2841829535335	18.016552265865	27.4802208563228	8.74010365324441	10.2284805772176	11.3482281107849	3.26365144866671	4.00337374731557	4.02814517389446
"gene-b0006"	"U00096.3"	64.8343054446684	72.7993566080758	68.5172225429058	67.4019754381451	74.1022690867981	67.3615691142434	24.0670475459669	12.5832297345074	12.4386747018499	5.65493513136652	6.27201123031127	5.93119510352505	3.03290339540828	4.59074132414179	3.49491029152564
"gene-b0007"	"U00096.3"	22.5742423254277	23.9707051076573	23.6917017929453	24.5013099376212	23.4672278522776	18.87755141548	28.0933190722822	2.51051107793628	2.47787677992682	1.19457468247289	1.48155956266564	1.55875051392431	0.789219503857952	1.09774371724353	0.570623739817934
"gene-b0008"	"U00096.3"	987.747490419664	1120.7665653046	1077.09643588247	942.991939424881	922.854553351864	832.163784561835	244.09209790804	192.244769189564	234.937940426952	96.2163541471775	102.038863194713	106.843077627336	46.0015541520354	60.8519977180276	41.6223572078825
"gene-b0009"	"U00096.3"	132.136038060802	141.683058485305	134.987239453286	150.883953539183	156.149858959076	132.410892018079	64.2293544801679	34.4673195867301	38.9340597867699	16.9909964275404	18.5220832241974	17.7642274304557	7.09298822378973	10.2876805707588	5.26418680524255
"gene-b0010"	"U00096.3"	40.7260684575527	44.0380960801468	54.4337152705727	56.4633545127642	66.6242119524765	60.688796694596	51.0878576447793	36.7063252220907	27.6503506867288	7.66002580341258	9.04572811130974	6.08295276075811	3.18380676490728	5.18894011252685	2.84679949931317
"gene-b0011"	"U00096.3"	0.504755567550895	0.393695729624985	0.558622924134203	0.740197403303861	0.794179207355131	0.821394148613305	3.71803961742422	0.148611787562126	0.111460058008611	0.0532037463622379	0.0894870844400437	0.12386102906521	0.0124547642208775	0.0121552475306459	0.026596396706386
"gene-b0012"	"U00096.3"	0.0180866945313329	0.0165254997620364	0.0390806160916932	0.0127935353657457	0.0185199540809839	0.0246273377891114	0.0301784813091523	0.0311901282537794	0.018194440196193	0.0260545095354169	0.0119516981463134	0.0202187413700412	0.0182977400282027	0.0178577093351465	0.0390737186180239
"gene-b0013"	"U00096.3"	4.0152461859559	5.05680292718314	4.83036414893328	6.24836267263022	6.51161585487392	4.52157921808086	15.1737404022418	1.38484169446781	1.37549967883219	0.343919525867504	0.702759851003225	0.994762075406026	0.285444744439963	0.107146256010879	0.328219236391401
"gene-b0014"	"U00096.3"	733.313566374949	521.596443770815	812.208591215173	425.690654234712	416.89147000681	599.424545692197	200.215946377827	156.953118348829	254.568919433501	79.4691898024059	70.0204544272788	106.859180621725	29.4799786172692	31.9582572329913	33.7695988991434
"gene-b0015"	"U00096.3"	143.618813197902	89.4815046292578	155.186534947323	85.4584407856866	82.8366597578029	127.276564025258	84.5639469813028	49.0939237309343	80.3643114743243	21.350461137439	18.7505975835936	27.3068850621177	7.19436075432491	8.09565279169731	9.2178737041109
"gene-b0016"	"U00096.3"	1.23993797495935	0.74324660115725	1.4163826522073	0.687126646085848	0.6388635372734	1.15064763675595	0.461218299253083	0.313246409362755	0.722971529305331	0.0341307052135111	0.193095629889494	0.132430031076011	0.00798984874546858	0.0701793536675029	0.0170618393965495
"gene-b0018"	"U00096.3"	0.0418577787725132	0.0382447280207128	0.09044371152649	0.0296078961321544	0.0428604651588484	0.0569946960262293	0.0698416281726097	0.072182868244461	0.0421071330254753	0.0602975792105363	0.027659644281468	0.0467919443135239	0.0423461983509835	0.0413278416041961	0.0904277488017124
"gene-b4412"	"U00096.3"	0.057451853217175	0.052492763949998	0.124138427585378	0.0406382888088394	0.0588280894337134	0.0782280141536481	0.095861058276131	0.099074525041417	0.0577941041526132	0.0827613832301479	0.0379642176412306	0.064224237293072	0.0581222330307616	0.0567244884763477	0.124116517963135
"gene-b4413"	"U00096.3"	1.11874426901081	1.89832922720993	5.17995802378988	5.99156152637962	3.10933192697827	7.18133169930489	9.86671728911232	0.826821945345644	2.09004496653723	2.07204408559843	0.739266856250146	0.535980453045819	1.45516936151561	0.15779721339784	1.72634793166906
"gene-b0019"	"U00096.3"	23.6738558039605	25.2778972272634	24.5593039808307	31.546490256797	40.8540665199213	44.0500137796551	57.3976095385645	26.3810755226607	26.7548073776523	8.53931526660269	9.16323485489148	9.87682917116567	4.13773521676319	5.094267364836	3.75891182036938
"gene-b0020"	"U00096.3"	12.4284338494413	13.0576619411116	13.1442864201909	17.6029726838686	18.8458316835877	17.6891154256241	24.3636275761074	7.81343696328288	8.40330101803112	3.28442111924941	3.67360374877379	3.307973546668	1.40359419037531	1.8104878954421	1.44624512156381
"gene-b0021"	"U00096.3"	0.749951869674195	0.239029550129455	0.339163918224338	0.703187533138668	0.732199613130326	0.261225690120218	0.611114246510335	0.270685755916729	0.157901748845532	0.226115922039511	0.126773369623395	0.253456365031588	0.0529327479387294	0.0516598020052452	0.0376782286673802
